provider,amount_raw_wei,amount_normalized_18d
0x2a0059610c92842dc2ef84af76b244c28687e647,799039358226865057996,799.039358226865057996
0x0f81a489248e180be6ad9cecadd5686443527410,780890937032457841911,780.890937032457841911
0x02b2d6a3298a4b20aa4f7a0a57e920e9fc9ad864,761232284041912667739,761.232284041912667739
0x1a5d119331d3193c85fb9cf1bee22fd17908f58d,754594085162376315124,754.594085162376315124
0x04e45ee310048f79d0eb1d7efedaa45c1973dcc1,751394831251494795489,751.394831251494795489
0xcde9e5e9ac09acb2c9c0e41d3309b1c614fa0f73,712309747742271539704,712.309747742271539704
0x141383fe13e629de29f82f00a1a1c050e713969b,692861658530790160033,692.861658530790160033
0x7e6be4c936f2cfdd3ef9b45262b5bc6a25c38d38,673825055953053375068,673.825055953053375068
0x0b581e0f4797e2f07f0a8d539b728f1602c0335f,673742618872081791482,673.742618872081791482
0x468ff1d2602da2597723fbc2fc591b91f88c4f25,660320480466859958213,660.320480466859958213
0x3115ba406ad02d875ca84c0dc861b05e06ca684d,658024156813481024452,658.024156813481024452
0xf7a077b1a8359590e120bf745111ea6d8f859241,652255840000000000000,652.25584
0xe366619833126918f7fd3bdf516002bdadf1ae5f,647074000369863825391,647.074000369863825391
0xe686d7e569d80d4e47c7e57308bc7571cd987a85,641159400000000000000,641.1594
0x61125f52cee83ed5d7a6cd14598d34974b11865e,633379340818871799535,633.379340818871799535
0xe0278bc20a01494ccf0dc51aee9ad21b3ff5cd1a,621356272580747279734,621.356272580747279734
0x98a5272ac5729906cc274bf75271f9f844bdb460,620888540553007908306,620.888540553007908306
0x5eef876c96fc72be56e03a9be247dd1608d3d275,612157499713784873500,612.1574997137848735
0x4b545b14c86930f92280654debf1f2f7072382d2,606238417825495890790,606.23841782549589079
0x9188c4fe0cb00b28b462aa88bc6361e044e8d396,599581311544604957191,599.581311544604957191
0xa0d3caa3e7df13741ef0f0b97d5798587914f613,591872016117404257072,591.872016117404257072
0x098df1df9116a13cee9b94a6e95f650beb206ea2,590283371280000000000,590.28337128
0x73ddced101ee3d5697a6b106908a013444f1d676,587810137685503830738,587.810137685503830738
0xc4508a4910be065b4c61808f3bf7ffde27d9110f,581019339404402831690,581.01933940440283169
0x1cb6020db373a3e1cfcda9489570933fd0f79d0d,577081165950376664588,577.081165950376664588
0x54159151dca432aa6d30b5a30bed282cefec8d76,568326924927566571935,568.326924927566571935
0x14b5a8782b298c74f2a50ec3f6478c0205c9b89f,565818026841511904059,565.818026841511904059
0x75edbfcf6f5f3c69206359b0a294922260fd234d,561990018577583428065,561.990018577583428065
0xebdcd7c4c3d372915cff73e9675ff0f252051ff6,560000000000000000000,560
0x074e2cac504ff3b19f4035bafe23e1ad54d1e871,558749544134641465906,558.749544134641465906
0x11cc908684dced5e460a729bd2cc401e588bedfc,551913432963054055719,551.913432963054055719
0x83f1b5b3ddde574c785fc093231c5fec34b8fcf8,551807000137421511249,551.807000137421511249
0xa25bbda556d09e566f84276376389441b3c06f25,550000000000000000000,550
0xe9b8f3225983eef3653c3618f4d9dd7a8745a744,549000000000000000000,549
0x37881ef34bdce4bb2d620253d9247a242a4a06d3,546742756149410435138,546.742756149410435138
0x4df46c869d9c607b86c1ba699d695e1c6b4f1953,543155897723137987415,543.155897723137987415
0xf0045f24895a17015f7a57ae44464dbddd04aa21,541778010078230009437,541.778010078230009437
0x5f280ce86b55a3d5b76676f8df28109f3932350a,541286886616900388732,541.286886616900388732
0xc7e9f7dec2fcf7894835d4902eaf159829f5475c,540085688495361326273,540.085688495361326273
0x8f8aa52ade4a5334da88b5bc1b678cf34e848a83,535796255610376927650,535.79625561037692765
0xa213a08a306b76fd0ba3a3e3abc979d5f3e6a5ec,533767225240422271530,533.76722524042227153
0x9bf0a3b1f6785824c484e5f8c9533ea82461b64a,532304340345732621445,532.304340345732621445
0x3345e0a59d7b4f4d767a117f004e01699a64b5e7,529998316908071396387,529.998316908071396387
0xb0cc7ae786fadc4e68b97fcdd422874209c303a8,529109111467714999221,529.109111467714999221
0x8b02bccc29cdc84306af9f22e1fc62a7f65e7cf2,525284486378816112605,525.284486378816112605
0xad29e455e273da45f8c006865f49f2e9f25841b9,521354827409635166288,521.354827409635166288
0xb10b5dbcd04b08d021419abc18b24436fe3de3f4,520210000000000000000,520.21
0x4b86bd26e4ea6bad71f35dcd1094968494ca1d59,519670000000000000000,519.67
0x08a857586c1f3006c0213b18ae0435b5fc1cc0c7,517470000000000000000,517.47
0xdb0132c875ea7a00c4a6283da592ae6500205396,516521728849490474920,516.52172884949047492
0xf7edfd4b2aca8752bbbe4cea0b4946a7c1f6e706,515830000000000000000,515.83
0x2b78d2e34ac8958f3ff7d66b566abf780faca5bb,514980000000000000000,514.98
0xd91a6c6cf13fefc5a0508c04dc46b0dc4a91f481,514528822138610304351,514.528822138610304351
0x2f1390ec03a03e57a1406bdef57c9cf487f62b78,511055462493207303280,511.05546249320730328
0x8fb3e703833efb8a07046b318f370e9f1da2878b,510550000000000000000,510.55
0xbaae6a762549f326d2c3eae0275e8630534aa7d1,509682668734172628815,509.682668734172628815
0x03f8a953a899d6d2565e6c607ae39d9f63d3ea72,508000000000000000000,508
0xa24b12943dd600052ba36a2543f3598c5b6baf3b,507778568014747488974,507.778568014747488974
0xe2dbe5c6fa75ea2bd64b9feacd221a13ea64ed79,504980000000000000000,504.98
0x7ecef8aaaee32b5dc1ac4232781fc4b1fe4a03c4,504250000000000000000,504.25
0x92155042728019ecda012b0a9efad60917fa5262,503148576067754731485,503.148576067754731485
0xb738747d62ff073761bd3a986be7d1a58e6984f2,502811701784353287026,502.811701784353287026
0xc075e59c65d81d28921934deb76dc52619efc416,502448336109364808342,502.448336109364808342
0x6de615cbf60593b075f60ff592cc9e418d12c8ef,502000000000000000000,502
0x3de7287e8f7340897ab60858e9c51bc9483cc1cd,501977310020633611972,501.977310020633611972
0xd1f4cf428835a775916dd767e11553b5649eaf87,501962334445781869198,501.962334445781869198
0x237f6eb87eb875304ebed6256821438748edd667,501567541896675385006,501.567541896675385006
0xea869669210a69b035b382e0f2a498b87dc6a45c,500000000000000000000,500
0x0e1a3a466e1112d62c903329f64c5eae790dc40c,500000000000000000000,500
0xf0b74463dbf9c070d444a25af0018216540ead60,500000000000000000000,500
0xa75f9c8246f7269279be4c969e7bc6eb619cc204,500000000000000000000,500
0x1adf17f665fbf879c75767ecc87f938abc776682,500000000000000000000,500
0x109b6afdcb301fcb24170504dc315a865974e84b,500000000000000000000,500
0x31483d303c54c7e0672430a90ea99e8740ccc90c,500000000000000000000,500
0x7c414c06dc87fdf876db9b27b03f31081c6d9093,500000000000000000000,500
0xb8fa8579473b93acedfcea5208a7b56bec2c1385,500000000000000000000,500
0xf9a57b22ceab4cc2f946843825bcd82a294c2156,500000000000000000000,500
0x8415ef34c01b13c03f7f8748429a422500059dd0,499329068383589998407,499.329068383589998407
0xc706c813aa7a67817983d0f5562057ef5bf38d54,497166515286776854344,497.166515286776854344
0x3796e166790664af2d78343edb3d060e9c0ddce5,496000000000000000000,496
0x8cff04cb7818a8f36b2cc840d12a62ac1d3b3f36,495920000000000000000,495.92
0xf9c70ee467a3726f156c85d1e68ee0a7d4203796,495566745021844282989,495.566745021844282989
0xed6f9c045ad1e5568ce4a5bf39e7d18d3f9edb22,494370780000000000000,494.37078
0x2884fd6baa6e14bbf3a1ad14290b3caffddfaa65,486500000000000000000,486.5
0xa816d2de65ebc01060d05c1a975cb65250b76e2b,484805660000000000000,484.80566
0x5647cc8d0ab4d9af1540c606ba603fddcccc6b25,484740000000000000000,484.74
0xe417c1f6f412a244d9f956fb93c0bdabca1d4b1b,482980000000000000000,482.98
0x660e5571d22ee7aa7d200d7b8ea29678bf92105b,476526662384627147775,476.526662384627147775
