provider,amount_raw_wei,amount_normalized_18d
0x9ae452e5bd703f0fe1afc79776137b38024d4f2e,5707397400000000000000,5707.3974
0x1ce24798c03e0e414f585b56102082b599679367,5630899540370000000000,5630.89954037
0xe08f66e675a91173221807279e0b7af93542de56,5617421848650000000000,5617.42184865
0x8336e810a8c88d21434735d72d303c7e47626082,5558124600000000000000,5558.1246
0x10a1161bc03a06804e227df8bdf9d2d7f2dc3108,5546887814790404245103,5546.887814790404245103
0xd18b6eed9dfcf0d65f4bd875c6ae7c57d0e8edb1,5530389012800000000000,5530.3890128
0xaa0caeed2366b97469df69591e1e5d1bb8c4877c,5519854198881137297253,5519.854198881137297253
0x8ebd43064793bf9936d58a23c72da2b8f3d84972,5367172962100000000000,5367.1729621
0xde5545499f114102eb9a7212720436472503cc49,5349080000000000000000,5349.08
0x11f77d97b12a2b47b0ea851dbce41a4eda5b7a7b,5300000000000000000000,5300
0x168f532e683a251516d8611d22af0773fdd94770,5293983861965028685143,5293.983861965028685143
0x6750b64945145ae35e79adcdb01896d6c8636fe7,5100000000000000000000,5100
0xf71181c9f91f85149d629f37b8c27afca0fd5ea1,5099530000000000000000,5099.53
0xc641d0b420b63d2a340ee5aacc8f68885a09ce75,5099100000000000000000,5099.1
0x77ca60dc603ba4a4b84d6520b21e5b72ef508396,5057803216926807392438,5057.803216926807392438
0x53695fae79a11f1e91aacb73ea37e36a8c09baba,5015717990720000000000,5015.71799072
0x5133bd15bf77b3ac5c07d18a0f85048c8872c047,5007895832670172009241,5007.895832670172009241
0x9342174252e8ae1de46abefc1b930e21a3cbcf55,5000000000000000000000,5000
0x6dec097216bfc1359eec391e5b7e0fd093ef15a1,4999080000000000000000,4999.08
0x6eeb37aebe6ce5889b85ee2421683d92a92ced99,4948349677054812931877,4948.349677054812931877
0xfe19cd575351f2f299506bd229ba96123efb7efe,4946217664359393873353,4946.217664359393873353
0x2bb6369d4ce3afddee7337752554c2b7173dd576,4890530000000000000000,4890.53
0xf195ec95cbd95566d30e39f6da3892301bdf9c91,4845679069823067013840,4845.67906982306701384
